Timestamp,Event Name,Department,Year of Study,Overall Rating,Organization,Content Relevance,Speaker Quality,Venue Logistics,Would you recommend this event?,Open Feedback,Suggestions
2025-09-06 10:00:00,Workshop on AI,CE,2,4,3,2,2,5,No,Loved the content and speakers!,Increase Q&A time.
2025-09-06 10:01:00,Tech Talk 2025,EEE,2,4,5,5,3,4,Yes,Venue was crowded but overall good.,Improve seating arrangement.
2025-09-06 10:02:00,Sports Fest,EEE,1,4,3,4,5,4,Yes,"Great experience, learned a lot.",Add more interactive sessions.
2025-09-06 10:03:00,Tech Talk 2025,CSE,1,5,2,2,3,2,Yes,"Great experience, learned a lot.",Improve seating arrangement.
2025-09-06 10:04:00,Workshop on AI,EEE,4,2,4,2,2,2,Yes,Venue was crowded but overall good.,Provide better refreshments.
2025-09-06 10:05:00,Sports Fest,ME,4,3,4,4,3,5,Yes,Not satisfied with time management.,Increase Q&A time.
2025-09-06 10:06:00,Tech Talk 2025,EEE,3,4,4,2,2,3,Yes,Loved the content and speakers!,Invite more industry experts.
2025-09-06 10:07:00,Tech Talk 2025,ME,3,5,2,5,3,2,Yes,Venue was crowded but overall good.,Improve seating arrangement.
2025-09-06 10:08:00,Sports Fest,EEE,2,4,5,5,2,4,Yes,Loved the content and speakers!,Increase Q&A time.
2025-09-06 10:09:00,Sports Fest,EEE,3,4,3,4,3,2,Yes,Venue was crowded but overall good.,Improve seating arrangement.
2025-09-06 10:10:00,Workshop on AI,CSE,4,4,4,4,5,2,Yes,"It was okay, could be better organized.",Provide better refreshments.
2025-09-06 10:11:00,Sports Fest,CE,3,4,4,4,3,5,Yes,"Great experience, learned a lot.",Invite more industry experts.
2025-09-06 10:12:00,Sports Fest,CE,4,3,3,3,4,3,Yes,Not satisfied with time management.,Provide better refreshments.
2025-09-06 10:13:00,Workshop on AI,ECE,2,5,5,4,5,2,Yes,Loved the content and speakers!,Add more interactive sessions.
2025-09-06 10:14:00,Workshop on AI,EEE,1,2,4,2,3,5,Yes,"It was okay, could be better organized.",Increase Q&A time.
